Mãvậttư,Tên Vật Tư,Model,Đơn vị KD,Ngành hàng,Nhóm hàng,Tồn đầu (inventory)
KGB48002300,Chậu chân lửng KG6305HN,KG6305HN,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,132
KGB48002400,Chậu đặt dương bàn KG6005,KG6005,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,133
KGB48002500,Chậu đặt dương bàn KG6006,KG6006,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,134
KGB48002700,Chậu chân lửng Lavabo liền khối KG6307HN,KG6307HN,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,135
KGB48002800,Chậu treo tường Lavabo KG6305N,KG6305N,MYA,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,136
KGB48002800,Chậu treo tường Lavabo KG6305N,KG6305N,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,137
KGB48002900,Chậu chân dài Lavabo KG6305PN,KG6305PN,VU1,Ngành hàng vật liệu xây dựng,Nhóm chậu rửa nhà tắm,138
KGB49000100,Tiểu nam treo tường KG6400,KG6400,DAN,Ngành hàng vật liệu xây dựng,Nhóm tiểu nam,139
KGB49000101,Tiểu nam treo tường KG6400 (thiếu bộ phụ kiện LĐ),KGB49000101,VU1,Ngành hàng vật liệu xây dựng,Nhóm tiểu nam,140
KGE05000100,Bình nước nóng (32L) KG60,KG60,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,141
KGE05000100,Bình nước nóng (32L) KG60,KG60,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,142
KGE05000200,Bình nước nóng (50L) KG61,KG61,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,143
KGE05000200,Bình nước nóng (50L) KG61,KG61,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,144
KGE05000200,Bình nước nóng (50L) KG61,KG61,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,145
KGE05000400,Bình nước nóng (22L) KG64,KG64,MYA,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,146
KGE05000400,Bình nước nóng (22L) KG64,KG64,VU1,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng gián tiếp,147
KGE05000500,Bình nước nóng trực tiếp KG233-CES-màu bạc,KG233-CES,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,148
KGE05000600,Bình nước nóng trực tiếp KG233-CEG-màu xanh,KG233-CEG,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,149
KGE05000700,Bình nước nóng trực tiếp KG234-CEPS-màu bạc,KG234-CEPS,DAN,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,150
KGE05000700,Bình nước nóng trực tiếp KG234-CEPS-màu bạc,KG234-CEPS,HCM,Ngành hàng vật liệu xây dựng,Nhóm bình nước nóng trực tiếp,151
